Column1,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,p
505,Platform Overview - Machine Learning,0,4.298 visualizaÃ§Ãµes,Publicado em 21 de mai. de 2019,CiÃªncia e tecnologia,Platform Overview - Machine Learning,"Google Cloud PlatformCarreg",4.298 visuali,https://i.ytimg.com/vi/QR_LQQ-vvko/maxresdefault.jpg,12800,7200,In this short GCP Essentials video  see how GCP has made Machine Learning easier for you from behind the scenes. Hear Alexis Moussine-Pouchkine further discu...,12800,7200,Alexis Moussine Pouchkine,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,488
507,Kaggle Meetup: Ship Detection Challenge,0,504 visualizaÃ§Ãµes,Publicado em 30 de nov. de 2018,CiÃªncia e tecnologia,Kaggle Meetup: Ship Detection Challenge,"Learn Data ScienceCarregand",504 visualiza,https://i.ytimg.com/vi/QXEy4rdLsDw/maxresdefault.jpg,12800,7200,Video from the 2018-11-29 meetup. Kaggle page: https://www.kaggle.com/c/airbus-ship-detection Meetup page: https://www.meetup.com/LearnDataScience/events/hjh...,12800,7200,learn data science,/channel/UCJhW_16uxALr0X4olEW2p5A,45
519,flowlightã•ã‚“ã€ŽTalkingData AdTracking Fraud Detection Challengeã€- Kaggle meetup Tokyo #4,0,1.707 visualizaÃ§Ãµes,Publicado em 12 de mai. de 2018,Pessoas e blogs,flowlightã•ã‚“ã€ŽTalkingData AdTracking Fraud Detection Challengeã€- Kaggle meetup Tokyo #4,"Takami SatoCarregando...",1.707 visuali,https://i.ytimg.com/vi/RKXUEJVJJ-o/maxresdefault.jpg,12800,7200,è³‡æ–™ https://www.slideshare.net/TakanoriHayashi3/talkingdata-adtracking-fraud-detection-challenge-1st-place-solution Kaggle meetup tokyo #4 https://connpass.co...,12800,7200,kaggle,/channel/UCiECS_auJLNpFsvjTi1WuxQ,288
527,Reinforcement Learning with TensorFlow and Unity - Pittsburgh ML Summit â€˜19,0,545 visualizaÃ§Ãµes,Publicado em 22 de nov. de 2019,CiÃªncia e tecnologia,Reinforcement Learning with TensorFlow and Unity - Pittsburgh ML Summit â€˜19,"Google DevelopersCarregand",545 visualiza,https://i.ytimg.com/vi/S-MbpQiwfls/maxresdefault.jpg,12800,7200,Dan Goncharov  Head of 42 Robotics GDG Fremont  talks about Reinforcement Learning with TensorFlow and Unity. Also  see an overview of Machine Learning in ge...,12800,7200,Dan Goncharov,/channel/UC_x5XG1OV2P6uZZ5FSM9Ttw,271
535,Identifying art through machine learning at MoMA,1,9.476 visualizaÃ§Ãµes,Publicado em 7 de mar. de 2018,Entretenimento,"#MachineLearning #Musuem #Art Identifying art through machine learning at MoMA","Google Arts & CultureCarre",9.476 visuali,https://i.ytimg.com/vi/SLBqVOnn9Mo/maxresdefault.jpg,12800,7200,The Art Recognizer  built in collaboration with the Museum of Modern Art  helps you recover details of past exhibits in the snap of a finger. See an interest...,12800,7200,museum of modern art,/channel/UCGn7dlcAmH44GqycKa_3ssA,531
557,Deep Learning - Computerphile,0,131.286 visualizaÃ§Ãµes,Publicado em 6 de jun. de 2018,EducaÃ§Ã£o,Deep Learning - Computerphile,"Computerphile",131.286 visua,https://i.ytimg.com/vi/TJlAxW-2nmI/maxresdefault.jpg,12800,7200,Deep Learning with Convolutional Neural Networks - Dr Mike Pound explains. CNN background: https://youtu.be/py5byOOHZM8 Onion Routing (TOR): https://youtu.be...,12800,7200,Neural Network,/channel/UC9-y-6csu5WGm29I7JiwpnA,469
579,How Machine Learning is Impacting Oil and Gas (Cloud Next '18),1,6.528 visualizaÃ§Ãµes,Publicado em 26 de jul. de 2018,CiÃªncia e tecnologia,How Machine Learning is Impacting Oil and Gas (Cloud Next '18),"Google Cloud PlatformCarreg",6.528 visuali,https://i.ytimg.com/vi/UXt7gVz5EPs/maxresdefault.jpg,12800,7200,New advances in machine learning are helping organizations optimize operations  maximize output  and automate manual processes. However  the scalability of s...,12800,7200,Cloud ML,/channel/UCJS9pqu9BzkAMNTmzNMNhvg,375
582,Kaggle Reading Group: XLNet | Kaggle,1,3.127 visualizaÃ§Ãµes,Transmitido ao vivo em 3 de jul. de 2019,CiÃªncia e tecnologia,Kaggle Reading Group: XLNet | Kaggle,"Kaggle",3.127 visuali,https://i.ytimg.com/vi/Ubh03Sh45b0/hqdefault.jpg,4800,3600,This week we're starting a new paper in the Kaggle reading group: XLNet: Generalized Autoregressive Pretraining for Language Understanding (Yang et al  unpub...,12800,7200,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,279
590,Kaggle Reading Group: Attention is all You Need (Pt. 2) | Kaggle,1,2.107 visualizaÃ§Ãµes,Transmitido ao vivo em 26 de dez. de 2018,CiÃªncia e tecnologia,Kaggle Reading Group: Attention is all You Need (Pt. 2) | Kaggle,"Kaggle",2.107 visuali,https://i.ytimg.com/vi/VEcsf0OKhfw/maxresdefault.jpg,12800,7200,"Join Kaggle Data Scientist Rachael as she reads through an NLP paper! Today's paper is ""Attention is All You Need"" (Vaswani et al 2017). You can find a copy ...",12800,7200,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,311
591,What makes a good Data Scientist? By Robert Armstrong  Head of Data Science at Tesco,0,774 visualizaÃ§Ãµes,Publicado em 9 de out. de 2018,EducaÃ§Ã£o,What makes a good Data Scientist? By Robert Armstrong  Head of Data Science at Tesco,"Data ScienceTech InstituteC",774 visualiza,https://i.ytimg.com/vi/VGDtM1-o0wQ/maxresdefault.jpg,12800,7200,What is the most important thing to make a great Data Scientist? Robert Armstrong  the Head of Data Science at Tesco - the third-largest retailer in the worl...,12800,7200,,/channel/UCp539uwEjrv26fWvUecGsSg,323
